Date,Price,Open,High,Low,Vol.,Change %
11-Mar-16,17213.31,17014.99,17220.09,17014.99,123.43M,1.28%
10-Mar-16,16995.13,17006.05,17130.11,16821.86,117.57M,-0.03%
9-Mar-16,17000.36,16969.17,17048.5,16947.94,116.69M,0.21%
8-Mar-16,16964.1,17050.67,17072.79,16921.51,108.38M,-0.64%
7-Mar-16,17073.95,16991.29,17099.25,16940.48,100.29M,0.40%
4-Mar-16,17006.77,16945,17062.38,16898.84,106.91M,0.37%
3-Mar-16,16943.9,16896.17,16944.31,16820.73,91.11M,0.26%
2-Mar-16,16899.32,16851.17,16900.17,16766.32,104.47M,0.20%
1-Mar-16,16865.08,16545.67,16865.56,16545.67,105.05M,2.11%
29-Feb-16,16516.5,16634.15,16726.12,16510.4,126.22M,-0.74%
26-Feb-16,16639.97,16712.7,16795.98,16623.91,98.48M,-0.34%
25-Feb-16,16697.29,16504.38,16697.98,16458.42,94.12M,1.29%
24-Feb-16,16484.99,16418.84,16507.39,16165.86,93.62M,0.32%
23-Feb-16,16431.78,16610.39,16610.39,16403.53,98.17M,-1.14%
22-Feb-16,16620.66,16417.13,16664.24,16417.13,102.24M,1.40%
19-Feb-16,16391.99,16410.96,16410.96,16278,134.34M,-0.13%
18-Feb-16,16413.43,16483.76,16511.84,16390.43,104.95M,-0.25%
17-Feb-16,16453.83,16217.98,16486.12,16217.98,124.09M,1.59%
16-Feb-16,16196.41,16012.39,16196.41,16012.39,142.03M,1.39%
12-Feb-16,15973.84,15691.62,15974.04,15691.62,132.55M,2.00%
11-Feb-16,15660.18,15897.82,15897.82,15503.01,172.07M,-1.60%
10-Feb-16,15914.74,16035.61,16201.89,15899.91,122.29M,-0.62%
9-Feb-16,16014.38,16005.41,16136.62,15881.11,127.74M,-0.08%
8-Feb-16,16027.05,16147.51,16147.51,15803.55,165.88M,-1.10%
5-Feb-16,16204.97,16417.95,16423.63,16129.81,139.01M,-1.29%
4-Feb-16,16416.58,16329.67,16485.84,16266.16,131.49M,0.49%
3-Feb-16,16336.66,16186.2,16381.69,15960.45,141.87M,1.13%
2-Feb-16,16153.54,16420.21,16420.21,16108.44,126.21M,-1.80%
1-Feb-16,16449.18,16453.63,16510.98,16299.47,114.45M,-0.10%
29-Jan-16,16466.3,16090.26,16466.3,16090.26,217.94M,2.47%
28-Jan-16,16069.64,15960.28,16102.14,15863.72,130.12M,0.79%
27-Jan-16,15944.46,16168.74,16235.03,15878.3,138.35M,-1.38%
26-Jan-16,16167.23,15893.16,16185.79,15893.16,118.21M,1.78%
25-Jan-16,15885.22,16086.46,16086.46,15880.15,123.25M,-1.29%
22-Jan-16,16093.51,15921.1,16136.79,15921.1,145.86M,1.33%
21-Jan-16,15882.68,15768.87,16038.59,15704.66,145.14M,0.74%
20-Jan-16,15766.74,15989.45,15989.45,15450.56,191.87M,-1.56%
19-Jan-16,16016.02,16009.45,16171.96,15900.25,144.36M,0.17%
15-Jan-16,15988.08,16354.33,16354.33,15842.11,239.22M,-2.39%
14-Jan-16,16379.05,16159.01,16482.05,16075.12,158.82M,1.41%
13-Jan-16,16151.41,16526.63,16593.51,16123.2,153.52M,-2.21%
12-Jan-16,16516.22,16419.11,16591.35,16322.07,117.48M,0.72%
11-Jan-16,16398.57,16358.71,16461.85,16232.03,127.80M,0.32%
8-Jan-16,16346.45,16519.17,16651.89,16314.57,141.85M,-1.02%
7-Jan-16,16514.1,16888.36,16888.36,16463.63,176.24M,-2.32%
6-Jan-16,16906.51,17154.83,17154.83,16817.62,120.25M,-1.47%
5-Jan-16,17158.66,17147.5,17195.84,17038.61,105.75M,0.06%
4-Jan-16,17148.94,17405.48,17405.48,16957.63,148.06M,-1.58%
31-Dec-15,17425.03,17590.66,17590.66,17421.16,93.69M,-1.02%
30-Dec-15,17603.87,17711.94,17714.13,17588.87,59.76M,-0.66%
29-Dec-15,17720.98,17547.37,17750.02,17547.37,69.86M,1.10%
28-Dec-15,17528.27,17535.66,17536.9,17437.34,59.77M,-0.14%
24-Dec-15,17552.17,17593.26,17606.34,17543.95,40.35M,-0.29%
23-Dec-15,17602.61,17427.63,17607.92,17427.63,92.82M,1.06%
22-Dec-15,17417.27,17253.55,17451.11,17242.86,91.57M,0.96%
21-Dec-15,17251.62,17154.94,17272.36,17116.73,114.91M,0.72%
18-Dec-15,17128.55,17495.04,17496.58,17124.31,344.56M,-2.10%
17-Dec-15,17495.84,17756.54,17796.76,17493.5,115.78M,-1.43%
16-Dec-15,17749.09,17530.85,17784.36,17483.68,123.79M,1.28%
15-Dec-15,17524.91,17374.78,17627.63,17341.18,123.43M,0.90%
14-Dec-15,17368.5,17277.11,17378.02,17138.47,142.54M,0.60%
11-Dec-15,17265.21,17574.75,17574.75,17230.5,134.51M,-1.76%
10-Dec-15,17574.75,17493.17,17697.74,17474.66,107.31M,0.47%
9-Dec-15,17492.3,17558.18,17767.69,17403.51,122.02M,-0.43%
8-Dec-15,17568,17703.99,17703.99,17485.39,113.72M,-0.92%
7-Dec-15,17730.51,17845.49,17845.49,17639.25,99.67M,-0.66%
4-Dec-15,17847.63,17482.68,17866.47,17482.68,137.65M,2.12%
3-Dec-15,17477.67,17741.57,17780.59,17425.56,126.99M,-1.42%
2-Dec-15,17729.68,17883.14,17901.58,17708.2,102.86M,-0.89%
1-Dec-15,17888.35,17719.72,17895.5,17719.72,103.88M,0.95%
30-Nov-15,17719.92,17802.84,17837.24,17719.79,155.56M,-0.44%
27-Nov-15,17798.49,17806.04,17830.36,17749.32,46.82M,-0.08%
25-Nov-15,17813.39,17820.81,17854.92,17801.83,82.54M,0.01%
24-Nov-15,17812.19,17770.9,17862.6,17683.51,127.17M,0.11%
23-Nov-15,17792.68,17823.61,17868.18,17751.53,134.68M,-0.17%
20-Nov-15,17823.81,17732.75,17914.34,17732.75,153.14M,0.51%
19-Nov-15,17732.75,17739.83,17772.97,17681.98,114.63M,-0.02%
18-Nov-15,17737.16,17485.49,17752.16,17485.49,106.81M,1.42%
17-Nov-15,17489.5,17486.99,17599.33,17451.41,167.19M,0.04%
16-Nov-15,17483.01,17229.94,17483.01,17210.43,137.59M,1.38%
13-Nov-15,17245.24,17439.25,17439.25,17238.89,134.64M,-1.16%
12-Nov-15,17448.07,17691.93,17691.93,17443.5,113.66M,-1.44%
11-Nov-15,17702.22,17769.5,17807.18,17696.91,95.23M,-0.32%
10-Nov-15,17758.21,17724.13,17768.66,17657.72,108.64M,0.16%
9-Nov-15,17730.48,17900.78,17900.78,17667.78,121.21M,-1.00%
6-Nov-15,17910.33,17855.22,17912.04,17768.6,107.45M,0.26%
5-Nov-15,17863.43,17871.25,17929.51,17779.19,98.91M,-0.02%
4-Nov-15,17867.58,17929.58,17964.12,17828.83,99.89M,-0.28%
3-Nov-15,17918.15,17819.74,17977.85,17796.02,92.29M,0.50%
2-Nov-15,17828.76,17672.62,17845.9,17655.02,100.84M,0.94%
30-Oct-15,17663.54,17756.6,17799.96,17662.87,149.25M,-0.52%
29-Oct-15,17755.8,17771.5,17786,17684.72,90.30M,-0.13%
28-Oct-15,17779.52,17586.69,17779.95,17556.71,115.63M,1.13%
27-Oct-15,17581.43,17608.89,17635.18,17540.57,115.18M,-0.24%
26-Oct-15,17623.05,17649.57,17660.7,17602.51,116.66M,-0.13%
23-Oct-15,17646.7,17525.11,17679.37,17525.11,158.09M,0.90%
22-Oct-15,17489.16,17180.88,17505.18,17180.88,152.42M,1.87%
21-Oct-15,17168.61,17225.93,17314.99,17153.13,107.10M,-0.28%
20-Oct-15,17217.11,17228.47,17264.88,17147.99,106.67M,-0.08%
19-Oct-15,17230.54,17209.43,17235.95,17129.19,118.43M,0.08%
16-Oct-15,17215.97,17141.75,17220.02,17107.35,145.88M,0.43%
15-Oct-15,17141.75,16944.86,17144.42,16933.57,122.96M,1.28%
14-Oct-15,16924.75,17079.08,17111.38,16887.67,120.11M,-0.92%
13-Oct-15,17081.89,17113.55,17172.81,17034.45,99.40M,-0.29%
12-Oct-15,17131.86,17082.29,17139.21,17064.58,72.50M,0.28%
9-Oct-15,17084.49,17054.69,17110.88,17027.23,103.73M,0.20%
8-Oct-15,17050.75,16904.17,17081.28,16859.34,100.73M,0.82%
7-Oct-15,16912.29,16805.42,16963.3,16765,115.69M,0.73%
6-Oct-15,16790.19,16774.02,16865.09,16746.03,120.01M,0.08%
5-Oct-15,16776.43,16502.1,16798.37,16502.1,127.66M,1.85%
2-Oct-15,16472.37,16258.25,16472.77,16013.66,136.89M,1.23%
1-Oct-15,16272.01,16278.62,16348.87,16073.82,111.42M,-0.08%
30-Sep-15,16284.7,16057.08,16297.6,16057.08,145.74M,1.47%
29-Sep-15,16049.13,16001.76,16118.89,15942.37,121.16M,0.30%
28-Sep-15,16001.89,16313.26,16313.26,15981.85,139.93M,-1.92%
25-Sep-15,16314.67,16205.07,16465.23,16205.07,130.79M,0.70%
24-Sep-15,16201.32,16257.11,16257.11,16016.36,122.22M,-0.48%
23-Sep-15,16279.89,16332.81,16355.29,16211.98,86.03M,-0.31%
22-Sep-15,16330.47,16477.45,16477.45,16221.73,119.01M,-1.09%
21-Sep-15,16510.19,16406.1,16578.6,16391.88,90.73M,0.77%
18-Sep-15,16384.58,16674.74,16674.74,16343.76,341.71M,-1.74%
17-Sep-15,16674.74,16738.08,16933.43,16639.93,129.60M,-0.39%
16-Sep-15,16739.95,16599.51,16755.98,16593.9,99.62M,0.84%
15-Sep-15,16599.85,16382.58,16644.11,16382.58,93.05M,1.40%
14-Sep-15,16370.96,16450.86,16450.86,16330.87,92.66M,-0.38%
11-Sep-15,16433.09,16330.4,16434.76,16244.65,104.63M,0.63%
10-Sep-15,16330.4,16252.57,16441.94,16212.08,122.69M,0.47%
9-Sep-15,16253.57,16505.04,16664.65,16220.1,118.79M,-1.45%
8-Sep-15,16492.68,16109.93,16503.41,16109.93,123.87M,2.42%
4-Sep-15,16102.38,16371.76,16371.76,16026.61,127.27M,-1.66%
3-Sep-15,16374.76,16364.34,16550.07,16317.31,109.73M,0.14%
2-Sep-15,16351.38,16058.35,16352.58,16058.35,133.48M,1.82%
1-Sep-15,16058.35,16528.03,16528.03,15979.95,171.39M,-2.84%
31-Aug-15,16528.03,16632.02,16632.02,16444.05,141.44M,-0.69%
28-Aug-15,16643.01,16649.42,16669.97,16535.18,131.79M,-0.07%
27-Aug-15,16654.77,16285.51,16666.69,16285.51,171.98M,2.27%
26-Aug-15,16285.51,15676.26,16303.75,15676.26,208.42M,3.95%
25-Aug-15,15666.44,15882.27,16312.94,15651.24,213.22M,-1.29%
24-Aug-15,15871.35,16459.75,16459.75,15370.33,293.92M,-3.57%
21-Aug-15,16459.75,16990.69,16990.69,16459.55,225.17M,-3.12%
20-Aug-15,16990.69,17345.32,17345.32,16990.69,128.54M,-2.06%
19-Aug-15,17348.73,17508.74,17517.19,17282.42,104.72M,-0.93%
18-Aug-15,17511.34,17537.3,17568.4,17486.42,79.90M,-0.19%
17-Aug-15,17545.18,17472.66,17551.4,17341.72,73.38M,0.39%
14-Aug-15,17477.4,17410.12,17492.9,17394.06,82.12M,0.40%
13-Aug-15,17408.25,17401.64,17481.78,17341.34,88.55M,0.03%
12-Aug-15,17402.51,17382.93,17423.9,17125.81,120.40M,0.00%
11-Aug-15,17402.84,17593.59,17593.59,17352.63,103.01M,-1.21%
10-Aug-15,17615.17,17375.18,17629.13,17375.18,92.43M,1.39%
7-Aug-15,17373.38,17414.94,17414.94,17279.08,81.80M,-0.27%
6-Aug-15,17419.75,17542.61,17572.04,17362.86,96.17M,-0.69%
5-Aug-15,17540.47,17555.24,17661.37,17492.9,102.45M,-0.06%
4-Aug-15,17550.69,17596.93,17635.78,17505.5,99.06M,-0.27%
3-Aug-15,17598.2,17696.74,17704.76,17496.61,87.88M,-0.52%
31-Jul-15,17689.86,17755.87,17783.59,17671.59,106.12M,-0.32%
30-Jul-15,17745.98,17743.24,17761.25,17640.85,76.65M,-0.03%
29-Jul-15,17751.39,17631.4,17776.78,17629.2,93.14M,0.69%
28-Jul-15,17630.27,17449.81,17650.07,17449.81,103.45M,1.09%
27-Jul-15,17440.59,17561.78,17561.78,17399.17,117.86M,-0.73%
24-Jul-15,17568.53,17731.05,17756.54,17553.73,103.47M,-0.92%
23-Jul-15,17731.92,17853.78,17860.95,17705.03,88.60M,-0.67%
22-Jul-15,17851.04,17918.35,17919.35,17807.41,112.37M,-0.38%
21-Jul-15,17919.29,18096.67,18096.67,17868.34,100.17M,-1.00%
20-Jul-15,18100.41,18085.91,18137.12,18064.5,75.06M,0.08%
17-Jul-15,18086.45,18117.58,18121.12,18032.06,106.51M,-0.19%
16-Jul-15,18120.25,18078.16,18131.61,18065.33,85.03M,0.39%
15-Jul-15,18050.17,18053.38,18090.39,18010.15,80.46M,-0.02%
14-Jul-15,18053.58,17974.61,18072.82,17956.17,76.74M,0.42%
13-Jul-15,17977.68,17787.27,17987.57,17787.27,86.38M,1.22%
10-Jul-15,17760.41,17561.12,17797.49,17561.12,85.80M,1.21%
9-Jul-15,17548.62,17530.38,17764.85,17530.38,100.52M,0.19%
